title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
To John Donne,Ben Jonson,1616,Early Modern,Elizabethan,Formal,Epistolary,Expository,Persuasive,Extradiegetic,None,Third person external,None,None,Real,None,Past,Chronological,English poetry,Narrative,Lyric poetry,Quatrains,Iambic pentameter,AABB
Inviting a Friend to Supper,Ben Jonson,1616,Early Modern,Elizabethan,Formal,Persuasive,Monologue,Expository,Extradiegetic,None,First person,Speaker,First person,Second person,Friend,Present,Synchronous,English Literature,Narrative,Poetry,Quatrains,Iambic pentameter,AABB
An Ode to Himself,Ben Jonson,1640,Early Modern,Renaissance,Elevated,Epideictic,Monologue,Poetic,Extradiegetic,None,First person,Singular,First person,God,Himself,Present,Static,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB
A Pindaric Ode,Ben Jonson,1629,Early Modern,Classical Revival,Formal,Epideictic,Monologue,Poetic,Extradiegetic,None,Third person (omniscient),None,None,General,None,Past,Linear,English Literary Tradition,Narrative,Ode,Irregular,Iambic pentameter,AABBCCDD
The Salve Deus Rex Judaeorum,Aemilia Lanyer,1611,Elizabethan,nan,Formal,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Past,nan,Metaphysical Poets,Lyric,Religious,Quatrains,Iambic pentameter,AABB
To the Virtuous Reader,Aemilia Lanyer,1611,Elizabethan,nan,Formal,Epideictic,nan,nan,nan,Extradiegetic,nan,First person,nan,General,nan,Past,Chronological,Metaphysical Poets,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
"To the Virgins, to Make Much of Time",Robert Herrick,1648,Early Modern,Metaphysical Poets,Admonitory,Exhortatory,Argumentative,Prose-like,Extradiegetic,None,Third person,Speaker,Second person,General,Time,Present,Linear,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB
Delight in Disorder,Robert Herrick,1648,Early Modern,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,nan,Second person,General,Garden,Present,Static,English Literary Tradition,Lyric,Descriptive Poem,Quatrains,Iambic pentameter,AABB
Upon Julia's Clothes,Robert Herrick,1648,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,nan,nan,Present,Static,British Literature,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
Corinna's Going A-Maying,Robert Herrick,1648,Early Modern,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Extern,Mimetic,Third person,nan,Present,Imaginary,Corinna,Past,Linear,English Literary Tradition,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
"The Night-Piece, to Julia",Robert Herrick,1648,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person,Narrator,Second person,Beloved,Night,Present,Static,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
To Daffodils,Robert Herrick,1648,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Mimetic,First person,Speaker,First person,Imaginary,Daffodils,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
The Argument of His Book,Robert Herrick,1648,Early Modern,Metaphysical Poets,Formal,Epideictic,Analytical,Expository,Zero,Non-diegetic,Third person omniscient,nan,Second person,General,nan,Present,Static,British,Satirical,Satire,Quatrains,Iambic pentameter,AABB
Upon a Child That Died,Robert Herrick,1648,Early Modern,Metaphysical Poets,Mournful,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,None,General,None,Past,Linear,English Literary Tradition,Lyric,Elegy,Quatrains,Iambic pentameter,AABB
Jordan (I),George Herbert,1633,Early Modern,Metaphysical Poets,Religious,Exhortatory,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Jordan,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB
Jordan (II),George Herbert,1633,Early Modern,Metaphysical Poets,Religious,Hortatory,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,First person,God,Jordan,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB
Affliction (I),George Herbert,1633,Early Modern,Metaphysical Poets,Penitential,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB
The Windows,George Herbert,1633,Early Modern,Metaphysical Poets,Meditative,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,nan,Second person,Reader,Windows,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
Prayer (I),George Herbert,1633,Early Modern,Metaphysical Poets,Formal,Hortatory,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Thou,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB
The Altar,George Herbert,1633,Early Modern,Metaphysical Poets,Formal,Exhortatory,Monologue,Poetic,Zero,Non-diegetic,First person,Speaker,First person,God,Altar,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB
Redemption,George Herbert,1633,Early Modern,Metaphysical Poets,Religious,Exhortatory,Monologue,Poetic,Zero,Non-diegetic,First person,Speaker,First person,God,Self,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB
The Agony,George Herbert,1633,Early Modern,Metaphysical Poets,Devotional,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,Divine,nan,nan,nan,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
The Triple Fool,John Donne,1633,Early Modern,Metaphysical Poets,Satirical,Invective,Argumentative,Poetic,Extradiegetic,None,Third person,None,None,Impersonal,None,Past,Chronological,English Literary Tradition,Satirical,Satire,Quatrains,Iambic pentameter,AABB
Twicknam Garden,John Donne,1633,Early Modern,Metaphysical Poets,Amorous,Epistolary,Letter,Formal,First Person,Mimetic,First Person,Speaker,Second Person,Beloved,Garden,Present,Static,English Literary Tradition,Lyric,Love Poetry,Quatrains,Iambic pentameter,ABAB
Love's Alchemy,John Donne,1633,Early Modern,Metaphysical Poetry,Elevated,Epideictic,Analogical,Expository,Zero,Non-diegetic,Third person,nan,Second person,General,nan,Present,Static,English Literary Tradition,Lyric,Love Poetry,Quatrains,Iambic pentameter,AABB
The Funeral,John Donne,1633,Early Modern,Metaphysical Poets,Formal,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,nan,Second person,God,nan,Past,Linear,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
The Blossom,John Donne,1633,Early Modern,Metaphysical Poets,Erotic,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,nan,nan,Present,Static,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
The Primrose,John Donne,1633,Early Modern,Metaphysical Poets,Amorous,Epideictic,Descriptive,Poetic,Extradiegetic,None,First person,Speaker,First person,Imaginary,Primrose,Present,Static,English Literature,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB
L'Allegro,John Milton,1645,Early Modern,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Second person,Reader,Nature,Present,Static,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB
Il Penseroso,John Milton,1645,Early Modern,Metaphysical Poets,Meditative,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,First person singular,Static,Implied,Nature,Past,Flashback,English literary tradition,Lyric,Meditation,Quatrains,Iambic pentameter,AABB
Comus,John Milton,1637,Early Modern,Metaphysical Poets,Formal,Didactic,Argumentative,Expository,Extradiegetic,None,Omniscient,Third person,None,General,None,Past,Chronological,English Literary Tradition,Narrative,Allegory,Sonnet,Iambic pentameter,ABABCDCDEFEFGG
On the Morning of Christ's Nativity,John Milton,1629,Early Modern,Metaphysical Poets,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Omniscient,Third person,Static,General,Christ's birth,Past,Linear,Christian,Narrative,Religious Poetry,Quatrains,Iambic pentameter,AABB
The Wish,Abraham Cowley,1647,Early Modern,Metaphysical Poets,Formal,Epideictic,Monologue,Expository,nan,nan,First person,Speaker,Second person,God,nan,Future,Progressive,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
Of Myself,Abraham Cowley,1668,Early Modern,Metaphysical Poets,Confessional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,First person singular,Static,Implied,Self,Autobiographical,Chronological,English literary tradition,Lyric,Metaphysical poetry,Quatrains,Iambic pentameter,AABB
To the Royal Society,Abraham Cowley,1667,Early Modern,Metaphysical Poets,Formal,Epideictic,Expository,Persuasive,Zero,Non-diegetic,Third Person Omniscient,Impersonal,Extradiegetic,General,None,Present,Static,English Poetry,Satirical,Science Poetry,Quatrains,Iambic pentameter,AABB
The Grasshopper,Richard Lovelace,1649,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,None,General,None,Present,Static,English Poetry,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
The Scrutiny,Richard Lovelace,1649,Early Modern,Metaphysical Poets,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Past,Simple,English Literature,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
A Rapture,Thomas Carew,1640,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person,nan,Second person,Imaginary,nan,Present,Static,English Literary Tradition,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
Ask Me No More,Thomas Carew,1640,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
To Saxham,Thomas Carew,1640,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,Non-diegetic,Third person external,nan,Second person,General,Saxham,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
The Flaming Heart,Richard Crashaw,1652,Baroque,Metaphysical Poets,Devotional,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,Divine,nan,Timeless,A-temporal,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
A Hymn to the Name and Honor of the Admirable Saint Teresa,Richard Crashaw,1652,Baroque,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,Non-diegetic,Third person omniscient,Narrator,Static,Imaginary,Saint Teresa,Past,Linear,English Literary Tradition,Lyric,Hymn,Quatrains,Iambic pentameter,AABB
The Weeper,Richard Crashaw,1648,Early Modern,Metaphysical Poets,Devotional,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,Divine,nan,Past,Flashback,English Literature,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
In the Holy Nativity,Richard Crashaw,1648,Baroque,Metaphysical Poets,Religious,Descriptive,Expository,Poetic,Third person,Mimetic,Omniscient,nan,Static,God,The Nativity scene,Past,Linear,Christian,Narrative,Religious poetry,Quatrains,Iambic pentameter,AABB
Annus Mirabilis,John Dryden,1667,Restoration,Baroque,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Third person,General,None,Past,Chronological,Classical,Narrative,Epic,Quatrains,Iambic pentameter,AABB
All for Love (Prologue),John Dryden,1678,Early Modern,Baroque,Formal,Epideictic,Monologue,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Past,Linear,Classical,Narrative,Drama,Quatrains,Iambic pentameter,AABB
A Song for St. Cecilia's Day,John Dryden,1687,Baroque,Classicism,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Static,General,None,Past,Linear,English literary tradition,Narrative,Ode,Quatrains,Iambic pentameter,AABBCCDD
Alexander's Feast,John Dryden,1697,Baroque,Baroque,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Past,Chronological,Classical,Narrative,Epic,Quatrains,Iambic pentameter,AABB
To the Memory of Mrs. Anne Killigrew,John Dryden,1686,Baroque,Classicism,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Static,General,None,Past,Linear,Metaphysical Poets,Lyric,Elegy,Quatrains,Iambic pentameter,AABB
The Secular Masque,John Dryden,1700,Baroque,Baroque,Formal,Epideictic,Monologue,Expository,Zero,Non-diegetic,Third person omniscient,nan,Anaphoric,General,nan,Past,Chronological,Classical,Satirical,Satire,Quatrains,Iambic pentameter,AABB
Religio Laici,John Dryden,1682,Early Modern,Baroque,Didactic,Epideictic,Exposition-Argument-Conclusion,Prose Poem,Third Person,Explicit,Omniscient,Third Person,Static,General,nan,Past,Chronological,English Literary Tradition,Satirical,Religious Poetry,Quatrains,Iambic pentameter,AABB
The Hind and the Panther,John Dryden,1687,Baroque,Baroque,Didactic,Epideictic,Comparative,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Past,Linear,Classical,Narrative,Fable,Quatrains,Iambic pentameter,AABB
An Essay upon Satire,"John Wilmot, Earl of Rochester",1680,Early Modern,nan,Satirical,Invective,Argumentative,Expository,Extradiegetic,nan,Third person omniscient,nan,Extralocative,General,nan,Historical,Chronological,Metaphysical Poets,Satirical,Satire,Quatrains,Iambic pentameter,AABB
A Letter from Artemisia,"John Wilmot, Earl of Rochester",1679,Early Modern,nan,Epistolary,Persuasive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Upon Nothing,"John Wilmot, Earl of Rochester",1679,Early Modern,Metaphysical Poets,Satirical,Invective,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,Second person,God,Nothing,Present,Static,English Literary Tradition,Satirical,Satire,Quatrains,Iambic pentameter,AABB
The Disabled Debauchee,"John Wilmot, Earl of Rochester",1680,Early Modern,nan,Satirical,Invective,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Metaphysical Poets,Satire,nan,nan,nan,nan
The Imperfect Enjoyment,"John Wilmot, Earl of Rochester",1680,Early Modern,Metaphysical Poets,Satirical,Invective,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,Implied,Self,Present,Static,English Literature,Lyric,Satire,Quatrains,Iambic pentameter,AABB
Love and Life,"John Wilmot, Earl of Rochester",1680,Early Modern,Metaphysical Poets,Satirical,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,Second person,Imaginary,Love and life,Present,Sequential,English Literary Tradition,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB
The Definition of Love,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Admiring,Epideictic,Analogical,Poetic,nan,Non-diegetic,Third person external,nan,Second person,General,nan,Timeless,Static,British,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB
The Garden,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Descriptive,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,Third person,nan,Second person,Reader,nan,Present,Static,English Literature,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
An Horatian Ode upon Cromwell's Return,Andrew Marvell,1681,Restoration,Metaphysical Poets,Praise,Epideictic,Parallelism,Formal,Extradiegetic,None,Third person omniscient,None,Extradiegetic,God,Cromwell,Historical,Chronological,Classical,Satirical,Ode,Quatrains,Iambic pentameter,AABBCC
The Mower to the Glow-Worms,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Observational,Descriptive,Exploratory,Poetic,Extradiegetic,Mimetic,Third person,Narrator,Second person,Nature,Glow-worms,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
Bermudas,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Descriptive,Descriptive,Exposition,Poetic,Extradiegetic,Mimetic,External,Third person,External,Imaginary,Bermudas,Present,Static,English Literary Tradition,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
The Picture of Little T.C.,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Playful,Epideictic,Descriptive,Expository,Third person,Mimetic,External,Third person,Static,Implied,Little T.C.,Past,Simple,British,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
The Coronet,Andrew Marvell,1681,Early Modern,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,External,General,None,Present,Static,English Literature,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB
Windsor Forest,Alexander Pope,1713,Baroque,Classicism,Formal,Descriptive,Paragraphic,Expository,Third person,Mimetic,Omniscient,nan,Third person,General,nan,Past,Chronological,British,Narrative,Epic,Quatrains,Iambic pentameter,AABB
The Dunciad,Alexander Pope,1728,Early Modern,Augustan,Satirical,Epideictic,Narrative,Expository,Third person omniscient,Mimetic,Omniscient,nan,Third person,General,nan,Past,Chronological,British,Narrative,Satire,Quatrains,Iambic pentameter,AABB
Epistle to Burlington,Alexander Pope,1731,Early Modern,Augustan,Formal,Epistolary,Expository,Persuasive,Extradiegetic,None,Third person external,First person singular (speaker),Second person (addressee),Real,Burlington,Past,Simple,British,Satirical,Satire,Quatrains,Iambic pentameter,AABB
Epistle II: To a Lady,Alexander Pope,1735,Early Modern,Augustan,Formal,Epistolary,Expository,Persuasive,Extradiegetic,None,Third person external,None,None,Real,None,Past,Chronological,British,Lyric,Epistle,Quatrains,Iambic pentameter,AABB
The Universal Prayer,Alexander Pope,1738,Early Modern,Augustan,Formal,Epideictic,Monologue,Exhortative,Zero,Non-diegetic,Third person omniscient,nan,Second person,Divine,Heavens,Timeless,Static,British,Lyric,Religious,Quatrains,Iambic pentameter,AABB
Moral Essays,Alexander Pope,1731,Early modern,Augustan,Didactic,Epideictic,Essay,Formal,Extradiegetic,None,Third person omniscient,None,None,General,None,Timeless,None,British,Satirical,Essay,None,Iambic pentameter,AABBCC
Elegy on the Death of a Mad Dog,Oliver Goldsmith,1766,Early Modern,Augustan,Satirical,Epideictic,Descriptive,Expository,Third Person,Mimetic,Omniscient,Third Person,External,General,A mad dog,Past,Linear,British Literature,Narrative,Elegy,Quatrains,Iambic pentameter,AABB
The Traveller,Oliver Goldsmith,1764,Eighteenth Century,Augustan,Narrative,Descriptive,Exposition,Third Person,Extradiegetic,Mimetic,Omniscient,nan,Extralocative,Implied,The landscape,Past,Chronological,British Literature,Descriptive,Poetry,Quatrains,Iambic pentameter,AABB
Retaliation,Oliver Goldsmith,1774,Eighteenth Century,Augustan,Satirical,Invective,Monologue,Expository,Third Person,Mimetic,External,nan,Second Person,General,nan,Present,Synchronous,British,Satirical,Poetry,Quatrains,Iambic pentameter,AABB
When Lovely Woman Stoops to Folly,Oliver Goldsmith,1766,Eighteenth Century,Augustan,Satirical,Invective,Argumentative,Expository,Third Person,Extradiegetic,Omniscient,Third Person,Static,General,nan,Past,Chronological,British Literary Tradition,Satire,Poetry,Quatrains,Iambic pentameter,AABB
The Bard,Thomas Gray,1757,Eighteenth Century,Classicism,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,None,Third Person Omniscient,None,None,General,None,Past,Linear,British Literature,Lyric,Ode,Quatrains,Iambic pentameter,AABB
Ode on a Distant Prospect of Eton College,Thomas Gray,1747,Early modern,Classicism,Admiring,Epideictic,Ode,Poetic,Extradiegetic,None,Third person (omniscient),None,External,Imaginary,Eton College,Past,Flashback,English poetry,Lyric,Ode,Quatrains,Alternating iambic pentameter and iambic tetrameter,AABBCCDD
Hymn to Adversity,Thomas Gray,1742,Early modern,Augustan,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,None,General,None,Past,Chronological,British,Lyric,Hymn,Quatrains,Iambic pentameter,AABB
The Fatal Sisters,Thomas Gray,1768,Eighteenth Century,Classical,Formal,Epideictic,Descriptive,Expository,Third Person,Extradiegetic,Omniscient,Third Person,Static,General,N/A,Past,Linear,British,Narrative,Poem,Quatrains,Iambic pentameter,AABB
London,Samuel Johnson,1738,Early Modern,Augustan,Observational,Descriptive,Expository,Poetic,Extradiegetic,Mimetic,External,Third person,Exocentric,Implied,London,Present,Static,British,Descriptive,Poetry,Quatrains,Iambic pentameter,AABB
On the Death of Dr. Robert Levet,Samuel Johnson,1783,Eighteenth Century,Augustan,Formal,Eulogy,Exposition-Narration-Conclusion,Explicit,Third Person,Extradiegetic,Omniscient,Third Person,Anaphoric,Indirect,Dr. Robert Levet,Past,Chronological,English Literary Tradition,Narrative,Poetry,Quatrains,Iambic pentameter,AABB
A Short Song of Congratulation,Samuel Johnson,1780,Eighteenth Century,Augustan,Formal,Epideictic,Descriptive,Poetic,Zero,Non-diegetic,Third Person Omniscient,nan,Anaphoric,General,nan,Present,Static,British,Lyric,Ode,Quatrains,Iambic pentameter,AABB
The Rape of the Lock (Canto I),Alexander Pope,1712,Early Modern,Classical,Satirical,Epideictic,Narrative,Poetic,Extradiegetic,Mimetic,Third person omniscient,nan,Second person,Reader,The lock of hair,Past,Linear,British,Satirical,Heroic Couplet,Quatrains,Iambic pentameter,AABBCC
The Rape of the Lock (Canto II),Alexander Pope,1714,Early Modern,Augustan,Satirical,Invective,Argumentative,Prose,Extradiegetic,None,Omniscient,Third person,None,General,None,Past,Chronological,British,Satire,Long Poem,Quatrains,Iambic pentameter,AABB
A Description of the Morning,Jonathan Swift,1709,Early Modern,nan,Descriptive,Descriptive,nan,Expository,Extradiegetic,Mimetic,Omniscient,nan,Extralocative,General,nan,Present,Sequential,nan,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
Cadenus and Vanessa,Jonathan Swift,1726,Early Modern,nan,Formal,Epistolary,Letter,Fictional,Exterior,Mimetic,Third person omniscient,nan,First person,Real,Cadenus,Past,Chronological,British,Narrative,Poem,Quatrains,Iambic pentameter,AABB
The Lady's Dressing Room,Jonathan Swift,1732,Early Modern,Satire,Satirical,Invective,Descriptive,Expository,Third person,Extradiegetic,External,Third person,Static,Indirect,The lady's dressing room,Present,Synchronous,British,Satirical,Satire,Quatrains,Iambic pentameter,AABB
A Beautiful Young Nymph Going to Bed,Jonathan Swift,1734,Early Modern,nan,Satirical,Invective,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Satire,nan,nan,nan,nan
On Stella's Birthday,Jonathan Swift,1719,Early Modern,nan,Celebratory,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
The Task,William Cowper,1785,Eighteenth Century,Romanticism,Didactic,Epideictic,Expository,Monologue,Extradiegetic,None,Third Person Omniscient,None,None,General,None,Past,Chronological,British Literary Tradition,Narrative,Poem,Quatrains,Anapestic Tetrameter,AABB
The Castaway,William Cowper,1799,Romantic,Romanticism,Narrative,Descriptive,Expository,Monologue,Third person,Mimetic,External,nan,Third person,Implied,nan,Past,Chronological,British Romanticism,Narrative,Poetry,Quatrains,Anapestic tetrameter,AABB
Light Shining Out of Darkness,William Cowper,1779,Eighteenth Century,Romanticism,Religious,Epideictic,Descriptive,Expository,Third Person,Non-diegetic,Omniscient,nan,Non-deictic,General,nan,Past,Linear,British Literary Tradition,Lyric,Religious Poetry,Quatrains,Anapestic Trimeter,AABB
The Poplar-Field,William Cowper,1784,Eighteenth Century,Romanticism,Narrative,Descriptive,Paragraphic,Expository,Third Person,Mimetic,External,nan,Narrative,General,nan,Past,Chronological,British Romanticism,Lyric,Poetry,Quatrains,Anapestic Tetrameter,AABB
The Clod and the Pebble,William Blake,1794,Romantic,Romanticism,Narrative,Epideictic,Descriptive,Poetic,Third person,Mimetic,External,nan,Third person,Implied,The clod and the pebble,Present,Static,British Romanticism,Lyric,Narrative poetry,Quatrains,Iambic pentameter,AABB
The Garden of Love,William Blake,1794,Romantic,Romanticism,Narrative,Epideictic,Descriptive,Poetic,Extradiegetic,None,Third person omniscient,nan,Static,Imaginary,The Garden,Past,Linear,British Romanticism,Lyric,Poetry,Quatrains,Irregular,AABB
Infant Sorrow,William Blake,1794,Romantic,Romanticism,Lamenting,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,nan,nan,Past,Flashback,British Romanticism,Lyric,Lament,Quatrains,Tetrameter,AABB
Ah! Sun-flower,William Blake,1794,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Poetic,nan,Non-diegetic,External,nan,Third person,Imaginary,Sun-flower,Present,Static,British Romanticism,Lyric,Poetry,Quatrains,Tetrameter,AABB
The Angel,William Blake,1794,Romantic,Romanticism,Divine,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,British Romanticism,Lyric,Religious,Quatrains,Tetrameter,AABB
Infant Joy,William Blake,1789,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,British Romanticism,Lyric,nan,Quatrains,Tetrameter,AABB
The Blossom,William Blake,1789,Eighteenth Century,Romanticism,Lyrical,Descriptive,Paragraphic,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,British Romanticism,Lyric,Poetry,Quatrains,Tetrameter,AABB
The Ecchoing Green,William Blake,1789,Romantic,Romanticism,Narrative,Descriptive,Expository,Poetic,Third person,Mimetic,External,nan,Third person,Implied,The Ecchoing Green,Past,Linear,British Romanticism,Lyric,Narrative Poetry,Quatrains,Tetrameter,AABB
The Marriage of Heaven and Hell,William Blake,1793,Romantic,Romanticism,Allegorical,Didactic,Prose,Poetic,Extradiegetic,None,Omniscient,None,None,General,None,Timeless,None,British Romanticism,Poetic,Prophetic Poetry,Irregular,Irregular,None
Auguries of Innocence,William Blake,1803,Romantic,Romanticism,Narrative,Epideictic,Fragmented,Poetic,External,Non-diegetic,Omniscient,Third person,Non-deictic,General,nan,Past,Linear,British Romanticism,Lyric,Narrative poetry,Quatrains,Ten-syllable lines,AABB
Jerusalem (And did those feet),William Blake,1808,Romantic,Romanticism,Religious,Epideictic,Narrative,Poetic,Extradiegetic,Nonmimetic,Omniscient,Third person,Anaphoric,God,England,Anachronic,Flashback,British Romanticism,Lyric,Religious poetry,Quatrains,Iambic tetrameter,AABB
Nutting,William Wordsworth,1800,Romantic,Romanticism,Descriptive,Descriptive,Expository,Narrative,Extradiegetic,Mimetic,Third person,nan,Past,Implied,nan,Past,Chronological,British Romanticism,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
Strange Fits of Passion,William Wordsworth,1800,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,British Romanticism,Lyric,nan,Quatrains,Iambic pentameter,AABB
A Slumber Did My Spirit Seal,William Wordsworth,1800,Romantic,Romanticism,Narrative,Narrative,Descriptive,Expository,First person,Mimetic,First person internal,First person singular,Subjective,Implied,Nature,Past,Simple past,English Romantic Poetry,Lyric,Lyric Poetry,"Four stanzas, each with eight lines",Iambic pentameter,AABBCCDD
Resolution and Independence,William Wordsworth,1807,Romantic,Romanticism,Reflective,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,General,nan,Past,Linear,British Romanticism,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
