source,title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme,poem_id,length_lines,source_url,length_words
colab_classified,The Cuckoo Song,Anonymous,1250,Middle English,,Folksy,Epideictic,,Expository,,Mimetic,Third person,,Second person,Community,The cuckoo bird,Present,Single moment,Oral tradition,Lyric,Nursery rhyme,Quatrains,Anapestic tetrameter,AABB,,,,
colab_classified,I Sing of a Maiden,Anonymous,1400,Middle English,,Formal,Epideictic,,Expository,,Mimetic,Third person omniscient,,Anaphoric,General,,Past,Sequential,Middle English,Lyric,Lyric,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Adam Lay Ybounden,Anonymous,1400,Middle English,,Formal,Deliberative,Strophic,Poetic,,Non-diegetic,Omniscient,,Anaphoric,God,,Anachronic,A-temporal,Middle English,Narrative,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,They Flee from Me,Thomas Wyatt,1557,Elizabethan,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,,Third person,First person (speaker),Second person,Imaginary,Nature,Present,Static,English poetry,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,"My Lute, Awake!",Thomas Wyatt,1557,Tudor,Renaissance,Imperative,Epideictic,Monologue,Poetic,,,,,,,,Present,Static,English Poetry,Lyric,Song,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Blame Not My Lute,Thomas Wyatt,1557,Tudor,Renaissance,Formal,Epideictic,Monologue,Poetic,Extradiegetic,,First person,Speaker,First person,Implied,Lute,Present,Static,English poetry,Lyric,Song,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Forget Not Yet,Thomas Wyatt,1557,Tudor,Renaissance,Formal,Deliberative,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,Second person,Beloved,You,Present,Static,English poetry,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Stand Whoso List,Thomas Wyatt,1557,Elizabethan,Renaissance,Formal,Deliberative,Monologue,Poetic,Extradiegetic,,First person,Speaker,Second person,Imaginary,You,Present,Static,English lyric tradition,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,The Long Love,Thomas Wyatt,1557,Elizabethan,Renaissance,Courtesan,Deliberative,Letter,Formal,First person,Mimetic,First person,Speaker,Second person,Beloved,You,Present,Sequential,English poetry,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Description of Spring,"Henry Howard, Earl of Surrey",1547,Renaissance,Elizabethan,Descriptive,Epideictic,Expository,Prose,Extradiegetic,Mimetic,Third person omniscient,,Extralocative,Implied,Spring,Past,Sequential,English poetry,Lyric,Lyric,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,"Alas, So All Things Now Do Hold Their Peace","Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person omniscient,,Second person,God,,Present,Static,English poetic tradition,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Soote Season,"Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Paragraphic,Expository,Third person,Mimetic,External,Third person,Objective,General,Nature,Past,Chronological,English poetry,Lyric,Lyric,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Love That Doth Reign,"Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,,Third person,,,General,,Present,Static,English Literary Tradition,Lyric,Lyric,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,"Give Place, Ye Lovers","Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Zero,Non-diegetic,Third person,,Static,General,,Past,Simple,English Literary Tradition,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Astrophil and Stella 1,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Deliberative,Monologue,Poetic,First person,Explicit,First person internal,First person singular,First person,Love object,Stella,Present,Static,Sonnet tradition,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Astrophil and Stella 31,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Deliberative,Letter,Persuasive,Explicit,Mimetic,First person,Speaker,Second person,Beloved,Stella,Present,Sequential,Sonnet tradition,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Astrophil and Stella 71,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Deliberative,Argumentative,Persuasive,Explicit,Mimetic,First person,Speaker,Second person,Beloved,Stella,Present,Sequential,Sonnet,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,"Leave Me, O Love",Philip Sidney,1598,Elizabethan,Renaissance,Formal,Epideictic,Monologue,Poetic,,Non-diegetic,First person,Speaker,First person,Love,Love,Present,Static,English literary tradition,Lyric,Love poetry,Sonnet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,"The Faerie Queene (Book I, Canto I)",Edmund Spenser,1590,Elizabethan,,,,,,,,,,,,,,,,Narrative,,,,,,,,
colab_classified,"The Faerie Queene (Book III, Canto VI)",Edmund Spenser,1590,Elizabethan,Renaissance,Formal,Epideictic,Narrative,Expository,Third person omniscient,Mimetic,Omniscient,Third person,External,Implied,The Faerie Queene,Past,Chronological,Arthurian,Narrative,Epic,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Amoretti 1,Edmund Spenser,1595,Elizabethan,Renaissance,Courtly,Epideictic,Sonnet,Lyrical,Explicit,Non-diegetic,First person,Speaker,First person,Beloved,You,Present,Static,Sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Amoretti 54,Edmund Spenser,1595,Elizabethan,Renaissance,Love poetry,Epideictic,Sonnet sequence,Poetic,Explicit,Non-diegetic,First person,Speaker,First person,Beloved,You,Past,Flashback,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Amoretti 75: One Day I Wrote Her Name,Edmund Spenser,1595,Elizabethan,Renaissance,Admiring,Epideictic,Descriptive,Poetic,,,,First person singular,,Beloved,,Past,Sequential,,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABBCDCDEFEFGG,,,,
colab_classified,Prothalamion,Edmund Spenser,1596,Elizabethan,Renaissance,Formal,Epideictic,Descriptive,Expository,Extradiegetic,,Third person omniscient,,Static,General,,Past,Chronological,English literary tradition,Narrative,Poetic,Sonnet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,The Nymph's Reply to the Shepherd,Walter Raleigh,1600,Elizabethan,Renaissance,Formal,Deliberative,Letter,Fictional,Extradiegetic,Mimetic,Third person external,Nymph,Second person,Shepherd,This wood,Past,Flashback,English literary tradition,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,The Lie,Walter Raleigh,1608,Elizabethan,,Formal,Epideictic,,,,,,,,,,,,,Lyric,,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,As You Came from the Holy Land,Walter Raleigh,1600,Elizabethan,,Admiring,Epideictic,,,,,,,,,,,,,Lyric,,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,What Is Our Life?,Walter Raleigh,1612,Elizabethan,,Meditative,Epideictic,,,,,,,,,,,,,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Hero and Leander,Christopher Marlowe,1598,Elizabethan,Elizabethan Drama,Elevated,Epideictic,Monologue,Narrative,Third person,Mimetic,External,Third person omniscient,Extradiegetic,General,,Past,Linear,Classical,Narrative,Epic Poem,Quatrains,Iambic pentameter,AABBCC,,,,
colab_classified,Come Live with Me,Christopher Marlowe,1599,Elizabethan,Elizabethan,Inviting,Deliberative,Monologue,Expository,Zero,Non-diegetic,First person,Speaker,Second person,Audience,You,Present,Static,English Renaissance,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Sonnet 1: From fairest creatures,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,"Non-diegetic, non-mimetic","Third person, external",,Second person,Reader,,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 12: When I do count the clock,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Deliberative,Three quatrains and a couplet,Monologue,First person,Non-diegetic,First person internal,First person singular,Present,Imaginary,Clock,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 20: A woman's face,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains followed by a couplet,Poetic,Extradiegetic,,Third person,Speaker,,Implied,,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 29: When in disgrace,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,Non-diegetic,First person,Speaker,First person,Implied,,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Sonnet 30: When to the sessions,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,,,First person,,Imaginary,,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 55: Not marble,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a concluding couplet,Lyrical,Extradiegetic,,First person,Speaker,Second person,Imaginary,Not marble,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a concluding couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 60: Like as the waves,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a couplet,Poetic,Extradiegetic,,Third person,,,General,,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Sonnet 65: Since brass,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a couplet,Poetic,,,,,,Imaginary,,Reflective,Flashback,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 73: That time of year,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,,,,,Imaginary,,Reflective,Flashback,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 94: They that have power,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains and a couplet,Poetic,Zero,Non-diegetic,Third person,,Static,Imaginary,,Timeless,Fixed,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 106: When in the chronicle,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains and a couplet,Poetic,Extradiegetic,Non-diegetic,Third person,,Anaphoric,Implied,,Past,Sequential,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Sonnet 116: Let me not,William Shakespeare,1609,Elizabethan,Renaissance,Romantic,Epideictic,Three quatrains and a couplet,Poetic,,Non-diegetic,First person,Speaker,Second person,Beloved,This poem,Present,Static,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 126: O thou my lovely boy,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,,,,,Second person singular,,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 129: Th' expense of spirit,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,,,,,,,,,,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 130: My mistress' eyes,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Descriptive,Poetic,,,,,,,,,,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 138: When my love swears,William Shakespeare,1609,Elizabethan,Renaissance,Romantic,Epideictic,Three quatrains and a couplet,Poetic,,,,,,Beloved,,Present,Static,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 144: Two loves I have,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,"Three quatrains, one couplet",Poetic,,,,First person singular,,Implied,,Present,Static,English sonnet tradition,Lyric,Sonnet,"Three quatrains, one couplet",Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,Sonnet 146: Poor soul,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains followed by a couplet,Poetic,,Non-diegetic,Third person,,Second person,General,,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,A Hymn to God the Father,John Donne,1633,Caroline,Metaphysical Poets,Formal,Epideictic,Monologue,Expository,Zero,Non-diegetic,First person (narrator),Speaker (narrator),Second person (God),Deity,God,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Holy Sonnet 1: Thou hast made me,John Donne,1633,Caroline,Metaphysical Poets,Formal,Epideictic,Unified,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Thou,Present,Static,English poetry,Lyric,Religious poetry,"Four quatrains, one couplet",Iambic pentameter,"AABB, CC, DD, EE, FF",,,,
colab_classified,Holy Sonnet 6: This is my play's last scene,John Donne,1633,Caroline,Metaphysical Poets,Devotional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Single moment,English poetry,Lyric,Religious poetry,Four quatrains and a couplet,Iambic pentameter,"AABB, CDCD, EE, FF",,,,
colab_classified,Holy Sonnet 7: At the round earth's,John Donne,1633,Caroline,Metaphysical Poets,Formal,Epideictic,Unified,Poetic,Zero,Non-diegetic,First person,Speaker,Extradiegetic,Implied,Round earth,Present,Static,English Literary Tradition,Lyric,Sonnet,"Three quatrains, a couplet",Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,Holy Sonnet 10: Death Be Not Proud,John Donne,1633,Caroline,Metaphysical Poets,Admonitory,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,Second person,God,Death,Present,Static,English poetry,Lyric,Religious,Four quatrains and a couplet,Iambic pentameter,AABB CCFF EE,,,,
colab_classified,Holy Sonnet 14: Batter my heart,John Donne,1633,Caroline,Metaphysical Poets,Impassioned,Epideictic,Monologue,Poetic,First Person,Non-diegetic,First Person Internal,Speaker,First Person,God,Heart,Present,Static,English Poetry,Lyric,Religious Poetry,Four Quatrains and a Couplet,Iambic Pentameter,ABCBDEDEFC,,,,
colab_classified,"Holy Sonnet 19: Oh, to vex me",John Donne,1633,Caroline,Metaphysical Poets,Meditative,Epideictic,Argumentative,Expository,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Static,English poetry,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABBABCDECDE,,,,
colab_classified,"A Hymn to God My God, in My Sickness",John Donne,1635,Caroline,Metaphysical Poets,Devotional,Epideictic,Monologue,Formal,First Person,Non-diegetic,First Person,Speaker,First Person,Divine,God,Present,Static,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Song: Go and Catch a Falling Star,John Donne,1633,Caroline,Metaphysical Poetry,Erotic,Deliberative,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,Second person,Imaginary,Star,Present,Static,English Literary Tradition,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Woman's Constancy,John Donne,1633,Caroline,Metaphysical Poets,Admiring,Epideictic,Analogical,Expository,,,,,,,,,,,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Apparition,John Donne,1633,Caroline,Metaphysical Poets,Intimate,Epideictic,Descriptive,Poetic,,,,First person singular,,Imaginary,,Past,Flashback,English Literary Tradition,Lyric,Ghost Story,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,A Nocturnal upon St. Lucy's Day,John Donne,1633,Caroline,Metaphysical Poets,Meditative,Epideictic,Analogical,Expository,First person,,First person internal,Speaker,Third person,Implied,Lucy,Past,Flashback,English Literary Tradition,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,To the Countess of Bedford,John Donne,1633,Caroline,Metaphysical Poets,Formal,Deliberative,Argumentative,Persuasive,Extradiegetic,,Third person external,,,Real,,Past,Chronological,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,An Anatomy of the World,John Donne,1611,Jacobean,Metaphysical Poets,Metaphysical,Epideictic,Analogy,Poetic,Extradiegetic,,First person,Speaker,Second person,God,World,Timeless,A-temporal,English Literature,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Volpone (To My Book),Ben Jonson,1607,Elizabethan,Elizabethan Drama,Formal,Epideictic,Monologue,Expository,Zero,Non-diegetic,First person,Speaker,First person,Book,My book,Present,Static,English Literary Tradition,Dramatic,Satire,Irregular,Iambic pentameter,AABBCC,,,,
colab_classified,To John Donne,Ben Jonson,1616,Jacobean,Elizabethan,Formal,Deliberative,Expository,Persuasive,Extradiegetic,,Third person external,,,Real,,Past,Chronological,English poetry,Narrative,Lyric poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Inviting a Friend to Supper,Ben Jonson,1616,Jacobean,Elizabethan,Formal,Deliberative,Monologue,Expository,Extradiegetic,,First person,Speaker,First person,Second person,Friend,Present,Synchronous,English Literature,Narrative,Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,An Ode to Himself,Ben Jonson,1640,Caroline,Renaissance,Elevated,Epideictic,Monologue,Poetic,Extradiegetic,,First person,Singular,First person,God,Himself,Present,Static,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,A Pindaric Ode,Ben Jonson,1629,Caroline,Classical Revival,Formal,Epideictic,Monologue,Poetic,Extradiegetic,,Third person (omniscient),,,General,,Past,Linear,English Literary Tradition,Narrative,Ode,Irregular,Iambic pentameter,AABBCCDD,,,,
colab_classified,The Salve Deus Rex Judaeorum,Aemilia Lanyer,1611,Elizabethan,,Formal,Epideictic,,,,,,,,,,Past,,Metaphysical Poets,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,To the Virtuous Reader,Aemilia Lanyer,1611,Elizabethan,,Formal,Epideictic,,,,Extradiegetic,,First person,,General,,Past,Chronological,Metaphysical Poets,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG,,,,
colab_classified,"To the Virgins, to Make Much of Time",Robert Herrick,1648,Caroline,Metaphysical Poets,Admonitory,Deliberative,Argumentative,Prose-like,Extradiegetic,,Third person,Speaker,Second person,General,Time,Present,Linear,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Delight in Disorder,Robert Herrick,1648,Caroline,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,,Second person,General,Garden,Present,Static,English Literary Tradition,Lyric,Descriptive Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Upon Julia's Clothes,Robert Herrick,1648,Caroline,Metaphysical Poets,Admiring,Epideictic,Descriptive,Expository,,,,,,,,Present,Static,British Literature,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Corinna's Going A-Maying,Robert Herrick,1648,Caroline,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Extern,Mimetic,Third person,,Present,Imaginary,Corinna,Past,Linear,English Literary Tradition,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,"The Night-Piece, to Julia",Robert Herrick,1648,Caroline,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person,Narrator,Second person,Beloved,Night,Present,Static,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,To Daffodils,Robert Herrick,1648,Caroline,Metaphysical Poets,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Mimetic,First person,Speaker,First person,Imaginary,Daffodils,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Argument of His Book,Robert Herrick,1648,Caroline,Metaphysical Poets,Formal,Epideictic,Analytical,Expository,Zero,Non-diegetic,Third person omniscient,,Second person,General,,Present,Static,British,Lyric,Satire,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Upon a Child That Died,Robert Herrick,1648,Caroline,Metaphysical Poets,Mournful,Epideictic,Descriptive,Expository,Extradiegetic,,Third person,,,General,,Past,Linear,English Literary Tradition,Lyric,Elegy,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Jordan (I),George Herbert,1633,Caroline,Metaphysical Poets,Religious,Deliberative,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Jordan,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Jordan (II),George Herbert,1633,Caroline,Metaphysical Poets,Religious,Deliberative,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,First person,God,Jordan,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Affliction (I),George Herbert,1633,Caroline,Metaphysical Poets,Penitential,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Windows,George Herbert,1633,Caroline,Metaphysical Poets,Meditative,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,,Second person,Reader,Windows,Present,Static,English Literary Tradition,Lyric,Descriptive Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Prayer (I),George Herbert,1633,Caroline,Metaphysical Poets,Formal,Deliberative,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Thou,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Altar,George Herbert,1633,Caroline,Metaphysical Poets,Formal,Deliberative,Monologue,Poetic,Zero,Non-diegetic,First person,Speaker,First person,God,Altar,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Redemption,George Herbert,1633,Caroline,Metaphysical Poets,Religious,Deliberative,Monologue,Poetic,Zero,Non-diegetic,First person,Speaker,First person,God,Self,Present,Static,Christian,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Agony,George Herbert,1633,Caroline,Metaphysical Poets,Devotional,Epideictic,Descriptive,Expository,,,,,,Divine,,,,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Triple Fool,John Donne,1633,Caroline,Metaphysical Poets,Satirical,Forensic,Argumentative,Poetic,Extradiegetic,,Third person,,,Impersonal,,Past,Chronological,English Literary Tradition,Lyric,Satire,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Twicknam Garden,John Donne,1633,Caroline,Metaphysical Poets,Amorous,Deliberative,Letter,Formal,First Person,Mimetic,First Person,Speaker,Second Person,Beloved,Garden,Present,Static,English Literary Tradition,Lyric,Love Poetry,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Love's Alchemy,John Donne,1633,Caroline,Metaphysical Poetry,Elevated,Epideictic,Analogical,Expository,Zero,Non-diegetic,Third person,,Second person,General,,Present,Static,English Literary Tradition,Lyric,Love Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Funeral,John Donne,1633,Caroline,Metaphysical Poets,Formal,Epideictic,Descriptive,Expository,Zero,Non-diegetic,Third person omniscient,,Second person,God,,Past,Linear,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Blossom,John Donne,1633,Caroline,Metaphysical Poets,Erotic,Epideictic,Descriptive,Poetic,,,,,,,,Present,Static,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Primrose,John Donne,1633,Caroline,Metaphysical Poets,Amorous,Epideictic,Descriptive,Poetic,Extradiegetic,,First person,Speaker,First person,Imaginary,Primrose,Present,Static,English Literature,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,L'Allegro,John Milton,1645,Caroline,Metaphysical Poets,Celebratory,Epideictic,Descriptive,Expository,Extradiegetic,,Third person omniscient,,Second person,Reader,Nature,Present,Static,English Literary Tradition,Lyric,Ode,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Il Penseroso,John Milton,1645,Caroline,Metaphysical Poets,Meditative,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,First person singular,Static,Implied,Nature,Past,Flashback,English literary tradition,Lyric,Meditation,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Comus,John Milton,1637,Caroline,Metaphysical Poets,Formal,Deliberative,Argumentative,Expository,Extradiegetic,,Omniscient,Third person,,General,,Past,Chronological,English Literary Tradition,Narrative,Allegory,Sonnet,Iambic pentameter,ABABCDCDEFEFGG,,,,
colab_classified,On the Morning of Christ's Nativity,John Milton,1629,Caroline,Metaphysical Poets,Formal,Epideictic,Descriptive,Expository,Extradiegetic,,Omniscient,Third person,Static,General,Christ's birth,Past,Linear,Christian,Narrative,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Wish,Abraham Cowley,1647,Caroline,Metaphysical Poets,Formal,Epideictic,Monologue,Expository,,,First person,Speaker,Second person,God,,Future,Progressive,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Of Myself,Abraham Cowley,1668,Restoration,Metaphysical Poets,Confessional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,First person singular,Static,Implied,Self,Autobiographical,Chronological,English literary tradition,Lyric,Metaphysical poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,To the Royal Society,Abraham Cowley,1667,Restoration,Metaphysical Poets,Formal,Epideictic,Expository,Persuasive,Zero,Non-diegetic,Third Person Omniscient,Impersonal,Extradiegetic,General,,Present,Static,English Poetry,Lyric,Science Poetry,Quatrains,Iambic pentameter,AABB,,,,
